"type","order_no","reg_charity_number","charity_name","Income - Donations and legacies","Income - Other trading activities","Income - Investments","Income - Charitable activities","Income - Other","Income - Total","Investment gains (losses)","Income - growth","Expenditure - Raising funds","Expenditure - Charitable","Expenditure - Other","Expenditure - Total","Expenditure - Growth","Own use assets","Long-term investments","Define benefit pension scheme or liability","Other assets","Total liabilities","Trustees","Employees","Volunteers"
"INCOME","1","205533","NUFFIELD HEALTH","1600000","23500000","0","1333000000","0","1358100000","0","119700000","26200000","1395900000","0","1422100000","121100000","1746400000","200000","-38100000","159000000","786300000","9","18215","0"
"INCOME","2","1076822","SAVE THE CHILDREN INTERNATIONAL","1203744480","0","9739120","0","2859010","1216342610","0","-93146787","1495470","1221080880","0","1240159902","-17583552","25900150","0","0","396116270","256587260","17","19548","1"
"INCOME","3","268369","THE CHARITIES AID FOUNDATION","1071719000","0","97854000","25250000","0","1194823000","74092000","47627000","0","1160615000","0","920470000","111907000","14459000","989838000","0","2459442000","1516776000","10","734","30"
"INCOME","4","209131","THE BRITISH COUNCIL","165299139","366363","5144558","695105146","7419621","873334827","-2064841","-23321147","37000","914099463","11022515","925158978","-17151571","367528713","1230896","0","618032410","585039182","13","9209","0"
"INCOME","5","1036733","THE ARTS COUNCIL OF ENGLAND","0","0","11740064","550364393","240960945","803065402","-42528","7355489","0","756289350","0","989630527","-233341177","12493862","756822","0","391368189","556964440","13","679","0"
"INCOME","6","313999","United Learning LTD","128273000","5385000","2304000","599623000","0","735585000","-268000","213862000","1258000","580331000","0","581589000","55721000","999798000","11318000","-7778000","167616000","137271000","6","9675","976"
"INCOME","7","205846","THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY","98074000","82145000","13705000","526107000","3783000","723814000","107954","52738000","71785000","695892000","0","767677000","34383000","187257000","1575550000","-29320000","167213000","289277000","12","8419","40000"
"INCOME","8","1089464","CANCER RESEARCH UK","463540745","134232909","8271109","75705684","2457000","684207447","33374601","-34585690","133317287","431898103","127209559","640845146","51579803","40632508","496832297","75049105","355207169","565328560","15","4879","25200"
"INCOME","9","1136855","CARDIFF UNIVERSITY","1397018","74742349","9670052","534439658","16131394","636380471","-5624091","1038042","4204000","528394593","78870407","611469000","-113844000","952267803","15207743","-180332339","488864803","598491789","23","6171","2130"
"INCOME","10","1145988","LLOYD'S REGISTER FOUNDATION","0","516793000","25242000","0","18366000","560401000","-13100000","-436113000","863000","21899000","527345000","550107000","-49757000","626323000","536903000","-134196000","361194000","296450000","7","3710","0"
"EXPENDITURE","1","210183","WELLCOME TRUST","0","0","475323353","30945674","35563781","541832808","-178236005","39541573","94100000","1490289026","76445648","1365367666","171986370","404901206","39312267692","219313714","191027470","6669261864","1","2314","0"
"EXPENDITURE","2","205533","NUFFIELD HEALTH","1600000","23500000","0","1333000000","0","1358100000","0","119700000","26200000","1395900000","0","1301000000","121100000","1746400000","200000","-38100000","159000000","786300000","9","18215","0"
"EXPENDITURE","3","1076822","SAVE THE CHILDREN INTERNATIONAL","1203744480","0","9739120","0","2859010","1216342610","0","-93146787","1495470","1221080880","0","1240159902","-17583552","25900150","0","0","396116270","256587260","17","19548","1"
"EXPENDITURE","4","268369","THE CHARITIES AID FOUNDATION","1071719000","0","97854000","25250000","0","1194823000","74092000","47627000","0","1160615000","0","1048708000","111907000","14459000","989838000","0","2459442000","1516776000","10","734","30"
"EXPENDITURE","5","209131","THE BRITISH COUNCIL","165299139","366363","5144558","695105146","7419621","873334827","-2064841","-23321147","37000","914099463","11022515","925158978","-17151571","367528713","1230896","0","618032410","585039182","13","9209","0"
"EXPENDITURE","6","205846","THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY","98074000","82145000","13705000","526107000","3783000","723814000","107954","52738000","71785000","695892000","0","767677000","34383000","187257000","1575550000","-29320000","167213000","289277000","12","8419","40000"
"EXPENDITURE","7","1036733","THE ARTS COUNCIL OF ENGLAND","0","0","11740064","550364393","240960945","803065402","-42528","7355489","0","756289350","0","756289350","-233341177","12493862","756822","0","391368189","556964440","13","679","0"
"EXPENDITURE","8","1089464","CANCER RESEARCH UK","463540745","134232909","8271109","75705684","2457000","684207447","33374601","-34585690","133317287","431898103","127209559","640845146","51579803","40632508","496832297","75049105","355207169","565328560","15","4879","25200"
"EXPENDITURE","9","1136855","CARDIFF UNIVERSITY","1397018","74742349","9670052","534439658","16131394","636380471","-5624091","1038042","4204000","528394593","78870407","611469000","-113844000","952267803","15207743","-180332339","488864803","598491789","23","6171","2130"
"EXPENDITURE","10","313999","United Learning LTD","128273000","5385000","2304000","599623000","0","735585000","-268000","213862000","1258000","580331000","0","581589000","55721000","999798000","11318000","-7778000","167616000","137271000","6","9675","976"
"EXPENDITURE_CHARITABLE_ACTIVITIES","1","210183","WELLCOME TRUST","0","0","475323353","30945674","35563781","541832808","-178236005","39541573","94100000","1490289026","76445648","1488848304","171986370","404901206","39312267692","219313714","191027470","6669261864","1","2314","0"
"EXPENDITURE_CHARITABLE_ACTIVITIES","2","205533","NUFFIELD HEALTH","1600000","23500000","0","1333000000","0","1358100000","0","119700000","26200000","1395900000","0","1422100000","121100000","1746400000","200000","-38100000","159000000","786300000","9","18215","0"
"EXPENDITURE_CHARITABLE_ACTIVITIES","3","1076822","SAVE THE CHILDREN INTERNATIONAL","1203744480","0","9739120","0","2859010","1216342610","0","-93146787","1495470","1221080880","0","1240159902","-17583552","25900150","0","0","396116270","256587260","17","19548","1"
"EXPENDITURE_CHARITABLE_ACTIVITIES","4","268369","THE CHARITIES AID FOUNDATION","1071719000","0","97854000","25250000","0","1194823000","74092000","47627000","0","1160615000","0","1048708000","111907000","14459000","989838000","0","2459442000","1516776000","10","734","30"
"EXPENDITURE_CHARITABLE_ACTIVITIES","5","209131","THE BRITISH COUNCIL","165299139","366363","5144558","695105146","7419621","873334827","-2064841","-23321147","37000","914099463","11022515","925158978","-17151571","367528713","1230896","0","618032410","585039182","13","9209","0"
"EXPENDITURE_CHARITABLE_ACTIVITIES","6","1036733","THE ARTS COUNCIL OF ENGLAND","0","0","11740064","550364393","240960945","803065402","-42528","7355489","0","756289350","0","756289350","-233341177","12493862","756822","0","391368189","556964440","13","679","0"
"EXPENDITURE_CHARITABLE_ACTIVITIES","7","205846","THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY","98074000","82145000","13705000","526107000","3783000","723814000","107954","52738000","71785000","695892000","0","733294000","34383000","187257000","1575550000","-29320000","167213000","289277000","12","8419","40000"
"EXPENDITURE_CHARITABLE_ACTIVITIES","8","313999","United Learning LTD","128273000","5385000","2304000","599623000","0","735585000","-268000","213862000","1258000","580331000","0","581589000","55721000","999798000","11318000","-7778000","167616000","137271000","6","9675","976"
"EXPENDITURE_CHARITABLE_ACTIVITIES","9","1136855","CARDIFF UNIVERSITY","1397018","74742349","9670052","534439658","16131394","636380471","-5624091","1038042","4204000","528394593","78870407","611469000","-113844000","952267803","15207743","-180332339","488864803","598491789","23","6171","2130"
"EXPENDITURE_CHARITABLE_ACTIVITIES","10","1091043","THE CHILDREN'S INVESTMENT FUND FOUNDATION (UK)","168598552","0","70381548","0","0","238980100","813661800","28989221","9656882","439395241","0","449052123","39225048","8939964","4653090929","0","125539846","270745750","5","211","0"
"INVESTMENTS","1","210183","WELLCOME TRUST","0","0","475323353","30945674","35563781","541832808","-178236005","39541573","94100000","1490289026","76445648","1184381848","171986370","404901206","39312267692","219313714","191027470","6669261864","1","2314","0"
"INVESTMENTS","2","230260","GARFIELD WESTON FOUNDATION","0","0","110302000","0","0","110302000","1801693000","19949000","261000","101731000","0","101992000","10052000","0","10093969000","0","96848000","64013000","9","0","0"
"INVESTMENTS","3","1140097","CHURCH COMMISSIONERS FOR ENGLAND","194128","0","188274178","0","3652718","192121024","345205453","43661706","107260942","387093534","0","494354476","248106567","136994502","9967545216","-81163856","1149716773","2073824192","24","166","0"
"INVESTMENTS","4","1091043","THE CHILDREN'S INVESTMENT FUND FOUNDATION (UK)","168598552","0","70381548","0","0","238980100","813661800","28989221","9656882","439395241","0","305973364","39225048","8939964","4653090929","0","125539846","270745750","5","211","0"
"INVESTMENTS","5","1159154","THE LEVERHULME TRUST","0","0","98928000","0","0","98928000","-98917000","6709000","3219000","124277000","0","140937000","23281000","916000","3756459000","0","4137000","322991000","9","17","0"
"INVESTMENTS","6","1178342","SUTL CAZENOVE CHARITY NON-UCITS FUND","0","0","50824000","0","0","50824000","184996000","18322000","9500000","0","12000","9512000","1979000","0","2384076000","0","101170000","20151000","1","0","0"
"INVESTMENTS","7","1137604","TRINITY COLLEGE CAMBRIDGE","12017000","218000","77152000","13175000","0","102562000","181735000","17046000","25766000","56408000","0","82174000","3199000","9602000","2232890000","0","64315000","115041000","14","647","125"
